REGNE,PHYLUM,CLASSE,ORDRE,FAMILLE,CD_NOM,CD_TAXSUP,CD_REF,RANG,LB_NOM,LB_AUTEUR,NOM_COMPLET,NOM_VALIDE,NOM_VERN,NOM_VERN_ENG,HABITAT,FR,GF,MAR,GUA,SM,SB,SPM,MAY,EPA,REU,SA,TA,NC,WF,PF,CLI,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2891,188728,2891,ES,Accipiter gentilis,(Linnaeus, 1758),Accipiter gentilis (Linnaeus, 1758),Accipiter gentilis (Linnaeus, 1758),Autour des palombes,Northern Goshawk,3,P,,,,,,P,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,416684,0,2891,ES,Astur palumbarius,(Linnaeus, 1758),Astur palumbarius (Linnaeus, 1758),Accipiter gentilis (Linnaeus, 1758),Autour des palombes,Northern Goshawk,3,P,,,,,,P,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2893,0,2891,ES,Falco gentilis,Linnaeus,1758,Falco gentilis Linnaeus,1758,Accipiter gentilis (Linnaeus, 1758),Autour des palombes,Northern Goshawk,3,P,,,,,,P,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,846569,0,2891,ES,Falco palumbarius,Linnaeus,1758,Falco palumbarius Linnaeus,1758,Accipiter gentilis (Linnaeus, 1758),Autour des palombes,Northern Goshawk,3,P,,,,,,P,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2894,2891,2894,SSES,Accipiter gentilis arrigonii,(Kleinschmidt, 1903),Accipiter gentilis arrigonii (Kleinschmidt, 1903),Accipiter gentilis arrigonii (Kleinschmidt, 1903),Autour des palombes (ssp. de Corse),,3,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,782301,2891,782301,SSES,Accipiter gentilis gentilis,(Linnaeus, 1758),Accipiter gentilis gentilis (Linnaeus, 1758),Accipiter gentilis gentilis (Linnaeus, 1758),,,3,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2895,188728,2895,ES,Accipiter nisus,(Linnaeus, 1758),Accipiter nisus (Linnaeus, 1758),Accipiter nisus (Linnaeus, 1758),Épervier d'Europe,Eurasian Sparrowhawk,3,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2898,0,2895,SSES,Accipiter nisus nisus,(Linnaeus, 1758),Accipiter nisus nisus (Linnaeus, 1758),Accipiter nisus (Linnaeus, 1758),Épervier d'Europe,Eurasian Sparrowhawk,3,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2899,0,2895,SSES,Accipiter nisus wolterstorffi,Kleinschmidt,1901,Accipiter nisus wolterstorffi Kleinschmidt,1901,Accipiter nisus (Linnaeus, 1758),Épervier d'Europe,Eurasian Sparrowhawk,3,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2897,0,2895,ES,Falco nisus,Linnaeus,1758,Falco nisus Linnaeus,1758,Accipiter nisus (Linnaeus, 1758),Épervier d'Europe,Eurasian Sparrowhawk,3,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2869,188842,2869,ES,Aegypius monachus,(Linnaeus, 1766),Aegypius monachus (Linnaeus, 1766),Aegypius monachus (Linnaeus, 1766),Vautour moine,,7,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2871,0,2869,ES,Vultur monachus,Linnaeus,1766,Vultur monachus Linnaeus,1766,Aegypius monachus (Linnaeus, 1766),Vautour moine,,7,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2634,189372,2634,ES,Aquila adalberti,C. L. Brehm,1861,Aquila adalberti C. L. Brehm,1861,Aquila adalberti C. L. Brehm,1861,Aigle ibérique,,7,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2645,189372,2645,ES,Aquila chrysaetos,(Linnaeus, 1758),Aquila chrysaetos (Linnaeus, 1758),Aquila chrysaetos (Linnaeus, 1758),Aigle royal,Golden Eagle,7,P,,,,,,P,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,416681,0,2645,ES,Aquila fulva,(Linnaeus, 1758),Aquila fulva (Linnaeus, 1758),Aquila chrysaetos (Linnaeus, 1758),Aigle royal,Golden Eagle,7,P,,,,,,P,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2647,0,2645,ES,Falco chrysaetos,Linnaeus,1758,Falco chrysaetos Linnaeus,1758,Aquila chrysaetos (Linnaeus, 1758),Aigle royal,Golden Eagle,7,P,,,,,,P,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,846567,0,2645,ES,Falco fulvus,Linnaeus,1758,Falco fulvus Linnaeus,1758,Aquila chrysaetos (Linnaeus, 1758),Aigle royal,Golden Eagle,7,P,,,,,,P,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2657,189372,2657,ES,Aquila fasciata,Vieillot,1822,Aquila fasciata Vieillot,1822,Aquila fasciata Vieillot,1822,Aigle de Bonelli,,7,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2655,0,2657,ES,Hieraaetus fasciatus,(Vieillot, 1822),Hieraaetus fasciatus (Vieillot, 1822),Aquila fasciata Vieillot,1822,Aigle de Bonelli,,7,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2643,189372,2643,ES,Aquila heliaca,Savigny,1809,Aquila heliaca Savigny,1809,Aquila heliaca Savigny,1809,Aigle impérial,,7,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2648,189372,2648,ES,Aquila nipalensis,Hodgson,1833,Aquila nipalensis Hodgson,1833,Aquila nipalensis Hodgson,1833,Aigle des steppes,,7,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2623,190128,2623,ES,Buteo buteo,(Linnaeus, 1758),Buteo buteo (Linnaeus, 1758),Buteo buteo (Linnaeus, 1758),Buse variable,Common Buzzard,3,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2625,0,2623,ES,Falco buteo,Linnaeus,1758,Falco buteo Linnaeus,1758,Buteo buteo (Linnaeus, 1758),Buse variable,Common Buzzard,3,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,458792,0,2623,ES,Falco vulgaris,,Falco vulgaris ,Buteo buteo (Linnaeus, 1758),Buse variable,Common Buzzard,3,P,,,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,779863,2623,779863,SSES,Buteo buteo vulpinus,Gloger,1833,Buteo buteo vulpinus Gloger,1833,Buteo buteo vulpinus Gloger,1833,,,3,P,,,,,,,,,,,,,,,,,,
Animalia,Chordata,Aves,Accipitriformes,Accipitridae,2630,190128,2630,ES,Buteo lagopus,(Pontoppidan, 1763),Buteo lagopus (Pontoppidan, 1763),Buteo lagopus (Pontoppidan, 1763),Buse pattue,Rough-legged Buzzard,7,P,,,,,,P,,,,,,,,,,,,
